O113_UE,Cor_base(R),Top,00073296.cix,00073297.cix,1166,510.5,0,1,ply18,17,5_white,,,
O113_UE,Cor_base(R),Bottom,00073298.cix,00073299.cix,1166,510.5,0,1,ply18,17,5_white,,,
O113_UE,Cor_base(R),Left Side,00073300.cix,,614,531.5,0,1,ply18,17,5_white,,5_white,5_white
O113_UE,Cor_base(R),Right Side,00073301.cix,,614,531.5,0,1,ply18,17,5_white,,5_white,5_white
O113_UE,Cor_base(R),Back,00073302.cix,,615,1186,0,1,ply_7,6,,,,
O113_UE,Cor_base(R),Fixed Shelve [1],00073303.cix,,1166,453.5,0,1,ply18,17,5_white,,,
O113_UE,Cor_base(R),Vertical Division [1],00073304.cix,,581,56,0,1,ply18,17,5_white,5_white,,
O113_UE,Cor_base(R),Double-Back 1 [1],00073305.cix,,581,573,0,1,ply18,17,,,,
O113_UE,Cor_base(R),Door-std (single) [2],00073306.cix,,669,595.5,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,Cor_base(R),Filler,00073307.cix,,669,93.5,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,Cor_base(R),Upper Strip 1 [1],00073308.cix,,1166,60,0,1,L_F,19,,,,
O113_UE,IIBR_Filler,Door-std (single) [1]_11,00073309.cix,,734,67,1,1,walnut_sf_18,18,,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_Filler,Door-std (single) [1]_21,00073310.cix,,1984,67,1,1,walnut_sf_18,18,,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_Loft,Top2,00073311.cix,,1212,74,0,1,L_F,19,5_Wenge,5_Dado,,
O113_UE,IIBR_Loft,Bottom2,00073312.cix,,1212,74,0,1,L_F,19,5_Wenge,5_Dado,,
O113_UE,IIBR_Loft,Left Side2,00073313.cix,,739,549,1,1,walnut_sf_18,18,5_Wenge,5_white,5_white,5_white
O113_UE,IIBR_Loft,Right Side2,00073314.cix,,701,74,0,1,L_F,19,5_Wenge,5_Wenge,5_white,5_white
O113_UE,IIBR_Loft,Vertical Division [1]2,00073315.cix,,702,74,0,1,L_F,19,5_Wenge,5_white,,
O113_UE,IIBR_Loft,Door-std (single) [1]2,00073316.cix,,684.5,387.7,0,1,Wh_SF,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_Loft,Door 1/bin/1.5-3 (single) [2]2,00073317.cix,,44.5,1174,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_Loft,Door-std (double) [1]_12,00073318.cix,,684.5,387.7,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_Loft,Door-std (double) [1]_22,00073319.cix,,684.5,387.7,0,1,Wh_SF,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_Stu_W,Top3,00073320.cix,,1000,299.5,0,1,ply18,17,5_white,,,
O113_UE,IIBR_Stu_W,Bottom3,00073321.cix,,1000,299.5,0,1,ply18,17,5_white,,,
O113_UE,IIBR_Stu_W,Left Side3,00073322.cix,,565,278,0,1,ply18,17,5_white,5_Dado,5_white,5_white
O113_UE,IIBR_Stu_W,Right Side3,00073323.cix,00073324.cix,565,278,0,1,ply18,17,5_white,5_Dado,5_white,5_white
O113_UE,IIBR_Stu_W,Back3,00073325.cix,,586,900,0,1,ply_7,6,,,,
O113_UE,IIBR_Stu_W,Mobile Shelve [1]3,00073326.cix,,865,248.5,0,1,ply18,17,5_white,,,
O113_UE,IIBR_Stu_W,Door-std (double) [1]3,00073327.cix,,468,318,0,2,Glass_5,5,,,,
O113_UE,IIBR_Stu_W,Door-std (double) [1]_23,00073328.cix,,594,444,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_Stu_W,Door-std (double) [1]_43,00073329.cix,,594,444,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_study,Top4,00073330.cix,,999,562.5,1,1,walnut_sf_18,18,2_Colour,5_Dado,5_Colour,5_Colour
O113_UE,IIBR_study,Bottom_14,00073331.cix,,365,74,0,1,ply18,17,0.5 white,5_Dado,,
O113_UE,IIBR_study,Bottom_24,00073332.cix,,365,74,0,1,ply18,17,5_Colour,0.5 white,,
O113_UE,IIBR_study,Left Side4,00073333.cix,,181.5,531,1,1,walnut_sf_18,18,5_Colour,5_Dado,,5_white
O113_UE,IIBR_study,Right Side4,00073334.cix,,181.5,531,0,1,ply18,17,5_Colour,5_Dado,,5_white
O113_UE,IIBR_study,Back4,00073335.cix,,185,385,0,1,ply_7,6,,,,
O113_UE,IIBR_study,Dra_slide_40 [1]4,00073336.cix,,176,394,1,1,walnut_sf_18,18,2_Colour,2_Colour,2_Colour,2_Colour
O113_UE,IIBR_study,Left Side Dra_slide_40 [1]4,00073337.cix,,479,104.5,0,1,ply18,17,5_white,,,
O113_UE,IIBR_study,Right Side Dra_slide_40 [1]4,00073338.cix,,479,104.5,0,1,ply18,17,5_white,,,
O113_UE,IIBR_study,Bottom Dra_slide_40 [1]4,00073339.cix,,478,321.6,0,1,ply_7,6,,,,
O113_UE,IIBR_study,Back Dra_slide_40 [1]4,00073340.cix,,305.6,104.5,0,1,ply18,17,5_white,,,
O113_UE,IIBR_study,Counter-Frontage Dra_slide_40 [1]4,00073341.cix,,339.6,104.5,0,1,ply18,17,5_white,,,
O113_UE,IIBR_WR,Top5,00073342.cix,00073343.cix,1145,549,0,1,ply18,17,5_Wenge,5_Dado,,
